"Parámetro","Fecha","Hora","Valor","Unidad"
"CO","2021-08-07","2:00 - 3:00","0.60","ppm"
"CO","2021-08-07","3:00 - 4:00","0.50","ppm"
"CO","2021-08-07","4:00 - 5:00","0.50","ppm"
"CO","2021-08-07","5:00 - 6:00","0.50","ppm"
"CO","2021-08-07","6:00 - 7:00","0.60","ppm"
"CO","2021-08-07","7:00 - 8:00","0.70","ppm"
"CO","2021-08-07","8:00 - 9:00","0.90","ppm"
"CO","2021-08-07","9:00 - 10:00","0.90","ppm"
"CO","2021-08-07","10:00 - 11:00","0.80","ppm"
"CO","2021-08-07","11:00 - 12:00","0.80","ppm"
"CO","2021-08-07","12:00 - 13:00","0.70","ppm"
"CO","2021-08-07","13:00 - 14:00","0.70","ppm"
"CO","2021-08-07","14:00 - 15:00","0.70","ppm"
"CO","2021-08-07","15:00 - 16:00","0.60","ppm"
"CO","2021-08-07","16:00 - 17:00","0.60","ppm"
"CO","2021-08-07","17:00 - 18:00","0.70","ppm"
"CO","2021-08-07","18:00 - 19:00","0.80","ppm"
"CO","2021-08-07","19:00 - 20:00","0.60","ppm"
"CO","2021-08-07","20:00 - 21:00","0.70","ppm"
"CO","2021-08-07","21:00 - 22:00","0.80","ppm"
"CO","2021-08-07","22:00 - 23:00","0.70","ppm"
"CO","2021-08-08","23:00 - 0:00","0.60","ppm"
"CO","2021-08-08","0:00 - 1:00","0.60","ppm"
"CO","2021-08-08","4:00 - 5:00","0.50","ppm"
"CO","2021-08-08","5:00 - 6:00","0.50","ppm"
"CO","2021-08-08","6:00 - 7:00","0.60","ppm"
"CO","2021-08-08","7:00 - 8:00","0.60","ppm"
"CO","2021-08-08","8:00 - 9:00","0.60","ppm"
"CO","2021-08-08","9:00 - 10:00","0.60","ppm"
"CO","2021-08-08","10:00 - 11:00","0.60","ppm"
"CO","2021-08-08","11:00 - 12:00","0.60","ppm"
"CO","2021-08-08","12:00 - 13:00","0.60","ppm"
"CO","2021-08-08","13:00 - 14:00","0.60","ppm"
"CO","2021-08-08","14:00 - 15:00","0.60","ppm"
"CO","2021-08-08","15:00 - 16:00","0.60","ppm"
"CO","2021-08-08","16:00 - 17:00","0.90","ppm"
"CO","2021-08-08","17:00 - 18:00","0.80","ppm"
"CO","2021-08-08","18:00 - 19:00","0.70","ppm"
"CO","2021-08-08","19:00 - 20:00","0.70","ppm"
"CO","2021-08-08","20:00 - 21:00","0.80","ppm"
"CO","2021-08-08","21:00 - 22:00","1.10","ppm"
"CO","2021-08-08","22:00 - 23:00","1.10","ppm"
"CO","2021-08-09","23:00 - 0:00","1.30","ppm"
"CO","2021-08-09","0:00 - 1:00","1.50","ppm"
"CO","2021-08-09","3:00 - 4:00","0.60","ppm"
"CO","2021-08-09","4:00 - 5:00","0.60","ppm"
"CO","2021-08-09","5:00 - 6:00","0.70","ppm"
"CO","2021-08-09","6:00 - 7:00","0.90","ppm"
"CO","2021-08-09","7:00 - 8:00","1.20","ppm"
"CO","2021-08-09","8:00 - 9:00","1.60","ppm"
"CO","2021-08-09","9:00 - 10:00","1.40","ppm"
"CO","2021-08-09","10:00 - 11:00","1.00","ppm"
"CO","2021-08-09","11:00 - 12:00","0.90","ppm"
"CO","2021-08-09","12:00 - 13:00","0.90","ppm"
"CO","2021-08-09","13:00 - 14:00","0.80","ppm"
"CO","2021-08-09","14:00 - 15:00","0.80","ppm"
"CO","2021-08-09","15:00 - 16:00","0.60","ppm"
"CO","2021-08-09","16:00 - 17:00","0.60","ppm"
"CO","2021-08-09","17:00 - 18:00","0.70","ppm"
"CO","2021-08-09","18:00 - 19:00","0.80","ppm"
"CO","2021-08-09","19:00 - 20:00","1.00","ppm"
"CO","2021-08-09","20:00 - 21:00","0.90","ppm"
"CO","2021-08-09","21:00 - 22:00","0.90","ppm"
"CO","2021-08-09","22:00 - 23:00","1.10","ppm"
"CO","2021-08-10","23:00 - 0:00","0.90","ppm"
"CO","2021-08-10","2:00 - 3:00","0.40","ppm"
"CO","2021-08-10","3:00 - 4:00","0.50","ppm"
"CO","2021-08-10","4:00 - 5:00","0.50","ppm"
"CO","2021-08-10","5:00 - 6:00","0.50","ppm"
"CO","2021-08-10","6:00 - 7:00","0.70","ppm"
"CO","2021-08-10","7:00 - 8:00","1.30","ppm"
"CO","2021-08-10","8:00 - 9:00","1.40","ppm"
"CO","2021-08-10","9:00 - 10:00","1.10","ppm"
"CO","2021-08-10","10:00 - 11:00","0.90","ppm"
"CO","2021-08-10","11:00 - 12:00","0.70","ppm"
"CO","2021-08-10","12:00 - 13:00","0.60","ppm"
"CO","2021-08-10","13:00 - 14:00","0.60","ppm"
"CO","2021-08-10","14:00 - 15:00","0.50","ppm"
"CO","2021-08-10","15:00 - 16:00","0.40","ppm"
"CO","2021-08-10","16:00 - 17:00","0.50","ppm"
"CO","2021-08-10","17:00 - 18:00","0.60","ppm"
"CO","2021-08-10","18:00 - 19:00","0.60","ppm"
"CO","2021-08-10","19:00 - 20:00","0.50","ppm"
"CO","2021-08-10","20:00 - 21:00","0.60","ppm"
"CO","2021-08-10","21:00 - 22:00","0.60","ppm"
"CO","2021-08-10","22:00 - 23:00","0.50","ppm"
"CO","2021-08-11","23:00 - 0:00","0.40","ppm"
"CO","2021-08-11","2:00 - 3:00","0.40","ppm"
"CO","2021-08-11","3:00 - 4:00","0.40","ppm"
"CO","2021-08-11","4:00 - 5:00","0.40","ppm"
"CO","2021-08-11","5:00 - 6:00","0.50","ppm"
"CO","2021-08-11","6:00 - 7:00","0.60","ppm"
"CO","2021-08-11","7:00 - 8:00","0.70","ppm"
"CO","2021-08-11","8:00 - 9:00","0.90","ppm"
"CO","2021-08-11","9:00 - 10:00","0.80","ppm"
"CO","2021-08-11","10:00 - 11:00","0.70","ppm"
"CO","2021-08-11","11:00 - 12:00","0.60","ppm"
"CO","2021-08-11","12:00 - 13:00","0.70","ppm"
"CO","2021-08-11","13:00 - 14:00","0.70","ppm"
"CO","2021-08-11","14:00 - 15:00","0.70","ppm"
"CO","2021-08-11","15:00 - 16:00","0.60","ppm"
"CO","2021-08-11","16:00 - 17:00","0.60","ppm"
"CO","2021-08-11","17:00 - 18:00","0.60","ppm"
"CO","2021-08-11","18:00 - 19:00","0.70","ppm"
"CO","2021-08-11","19:00 - 20:00","1.00","ppm"
"CO","2021-08-11","20:00 - 21:00","0.80","ppm"
"CO","2021-08-11","21:00 - 22:00","1.00","ppm"
"CO","2021-08-11","22:00 - 23:00","1.20","ppm"
"CO","2021-08-12","23:00 - 0:00","0.70","ppm"
"CO","2021-08-12","4:00 - 5:00","0.50","ppm"
"CO","2021-08-12","5:00 - 6:00","0.60","ppm"
"CO","2021-08-12","6:00 - 7:00","0.70","ppm"
"CO","2021-08-12","7:00 - 8:00","1.10","ppm"
"CO","2021-08-12","8:00 - 9:00","1.50","ppm"
"CO","2021-08-12","9:00 - 10:00","1.30","ppm"
"CO","2021-08-12","10:00 - 11:00","1.00","ppm"
"CO","2021-08-12","11:00 - 12:00","0.90","ppm"
"CO","2021-08-12","12:00 - 13:00","0.90","ppm"
"CO","2021-08-12","13:00 - 14:00","0.80","ppm"
"CO","2021-08-12","14:00 - 15:00","0.70","ppm"
"CO","2021-08-12","15:00 - 16:00","0.60","ppm"
"CO","2021-08-12","16:00 - 17:00","0.60","ppm"
"CO","2021-08-12","17:00 - 18:00","0.70","ppm"
"CO","2021-08-12","18:00 - 19:00","0.80","ppm"
"CO","2021-08-12","19:00 - 20:00","0.70","ppm"
"CO","2021-08-12","20:00 - 21:00","0.70","ppm"
"CO","2021-08-12","21:00 - 22:00","0.80","ppm"
"CO","2021-08-12","22:00 - 23:00","0.90","ppm"
"CO","2021-08-13","23:00 - 0:00","0.80","ppm"
"CO","2021-08-13","0:00 - 1:00","1.00","ppm"
"CO","2021-08-13","3:00 - 4:00","0.60","ppm"
"CO","2021-08-13","4:00 - 5:00","0.60","ppm"
"CO","2021-08-13","5:00 - 6:00","0.70","ppm"
"CO","2021-08-13","6:00 - 7:00","1.00","ppm"
"CO","2021-08-13","7:00 - 8:00","1.10","ppm"
"CO","2021-08-13","8:00 - 9:00","1.40","ppm"
"CO","2021-08-13","9:00 - 10:00","1.10","ppm"
"CO","2021-08-13","10:00 - 11:00","0.90","ppm"
"CO","2021-08-13","11:00 - 12:00","0.70","ppm"
"CO","2021-08-13","12:00 - 13:00","1.00","ppm"
"CO","2021-08-13","13:00 - 14:00","1.00","ppm"
"CO","2021-08-13","14:00 - 15:00","0.80","ppm"
"CO","2021-08-13","15:00 - 16:00","0.70","ppm"
"CO","2021-08-13","16:00 - 17:00","0.60","ppm"
"CO","2021-08-13","17:00 - 18:00","0.60","ppm"
"CO","2021-08-13","18:00 - 19:00","0.60","ppm"
"CO","2021-08-13","19:00 - 20:00","0.80","ppm"
"CO","2021-08-13","20:00 - 21:00","0.60","ppm"
"CO","2021-08-16","8:00 - 9:00","0.80","ppm"
"CO","2021-08-16","9:00 - 10:00","0.70","ppm"
"CO","2021-08-16","10:00 - 11:00","0.70","ppm"
"CO","2021-08-16","11:00 - 12:00","0.70","ppm"
"CO","2021-08-16","12:00 - 13:00","0.60","ppm"
"CO","2021-08-16","13:00 - 14:00","0.60","ppm"
"CO","2021-08-16","14:00 - 15:00","0.60","ppm"
"CO","2021-08-16","15:00 - 16:00","0.50","ppm"
"CO","2021-08-16","16:00 - 17:00","0.50","ppm"
"CO","2021-08-16","17:00 - 18:00","0.50","ppm"
"CO","2021-08-16","18:00 - 19:00","0.60","ppm"
"CO","2021-08-16","19:00 - 20:00","0.60","ppm"
"CO","2021-08-16","20:00 - 21:00","0.50","ppm"
"CO","2021-08-16","21:00 - 22:00","0.50","ppm"
"CO","2021-08-16","22:00 - 23:00","0.60","ppm"
"CO","2021-08-17","23:00 - 0:00","0.50","ppm"
"CO","2021-08-17","0:00 - 1:00","0.50","ppm"
"CO","2021-08-17","1:00 - 2:00","0.50","ppm"
"CO","2021-08-17","2:00 - 3:00","0.50","ppm"
"CO","2021-08-17","3:00 - 4:00","0.50","ppm"
"CO","2021-08-17","4:00 - 5:00","0.50","ppm"
"CO","2021-08-17","5:00 - 6:00","0.50","ppm"
"CO","2021-08-17","6:00 - 7:00","0.60","ppm"
"CO","2021-08-17","7:00 - 8:00","0.70","ppm"
"CO","2021-08-17","8:00 - 9:00","0.80","ppm"
"CO","2021-08-17","9:00 - 10:00","0.70","ppm"
"CO","2021-08-17","13:00 - 14:00","0.80","ppm"
"CO","2021-08-25","1:00 - 2:00","0.40","ppm"
"CO","2021-08-25","2:00 - 3:00","0.40","ppm"
"CO","2021-08-25","3:00 - 4:00","0.40","ppm"
"CO","2021-08-25","4:00 - 5:00","0.30","ppm"
"CO","2021-08-25","5:00 - 6:00","0.40","ppm"
"CO","2021-08-25","6:00 - 7:00","0.50","ppm"
"CO","2021-08-25","7:00 - 8:00","0.70","ppm"
"CO","2021-08-25","8:00 - 9:00","0.70","ppm"
"CO","2021-08-25","9:00 - 10:00","0.70","ppm"
"CO","2021-08-25","10:00 - 11:00","0.60","ppm"
"CO","2021-08-25","11:00 - 12:00","0.50","ppm"
"CO","2021-08-25","12:00 - 13:00","0.50","ppm"
"CO","2021-08-25","13:00 - 14:00","0.50","ppm"
"CO","2021-08-25","14:00 - 15:00","0.50","ppm"
"CO","2021-08-25","15:00 - 16:00","0.40","ppm"
"CO","2021-08-25","16:00 - 17:00","0.40","ppm"
"CO","2021-08-25","17:00 - 18:00","0.50","ppm"
"CO","2021-08-25","18:00 - 19:00","0.50","ppm"
"CO","2021-08-25","19:00 - 20:00","0.50","ppm"
"CO","2021-08-25","20:00 - 21:00","0.50","ppm"
"CO","2021-08-25","21:00 - 22:00","0.40","ppm"
"CO","2021-08-25","22:00 - 23:00","0.40","ppm"
"CO","2021-08-26","23:00 - 0:00","0.40","ppm"
"CO","2021-08-26","0:00 - 1:00","0.30","ppm"
"CO","2021-08-26","1:00 - 2:00","0.30","ppm"
"CO","2021-08-26","2:00 - 3:00","0.30","ppm"
"CO","2021-08-26","3:00 - 4:00","0.30","ppm"
"CO","2021-08-26","4:00 - 5:00","0.30","ppm"
"CO","2021-08-26","5:00 - 6:00","0.40","ppm"
"CO","2021-08-26","6:00 - 7:00","0.40","ppm"
"CO","2021-08-26","7:00 - 8:00","0.60","ppm"
"CO","2021-08-26","8:00 - 9:00","0.70","ppm"
"CO","2021-08-26","9:00 - 10:00","0.70","ppm"
"CO","2021-08-26","11:00 - 12:00","0.60","ppm"
"CO","2021-08-26","12:00 - 13:00","0.50","ppm"
"CO","2021-08-26","13:00 - 14:00","0.40","ppm"
"CO","2021-08-26","14:00 - 15:00","0.40","ppm"
"CO","2021-08-26","15:00 - 16:00","0.50","ppm"
"CO","2021-08-26","16:00 - 17:00","0.50","ppm"
"CO","2021-08-26","17:00 - 18:00","0.50","ppm"
"CO","2021-08-26","18:00 - 19:00","0.70","ppm"
"CO","2021-08-26","19:00 - 20:00","0.80","ppm"
"CO","2021-08-26","20:00 - 21:00","0.60","ppm"
"CO","2021-08-26","21:00 - 22:00","0.50","ppm"
"CO","2021-08-26","22:00 - 23:00","0.50","ppm"
"CO","2021-08-27","23:00 - 0:00","0.40","ppm"
"CO","2021-08-27","0:00 - 1:00","0.40","ppm"
"CO","2021-08-27","1:00 - 2:00","0.40","ppm"
"CO","2021-08-27","2:00 - 3:00","0.40","ppm"
"CO","2021-08-27","3:00 - 4:00","0.40","ppm"
"CO","2021-08-27","4:00 - 5:00","0.40","ppm"
"CO","2021-08-27","5:00 - 6:00","0.40","ppm"
"CO","2021-08-27","6:00 - 7:00","0.60","ppm"
"CO","2021-08-27","7:00 - 8:00","0.80","ppm"
"CO","2021-08-27","8:00 - 9:00","0.90","ppm"
"CO","2021-08-27","9:00 - 10:00","1.20","ppm"
"CO","2021-08-27","10:00 - 11:00","1.40","ppm"
"CO","2021-08-27","11:00 - 12:00","1.40","ppm"
"CO","2021-08-27","12:00 - 13:00","1.30","ppm"
"CO","2021-08-27","13:00 - 14:00","0.90","ppm"
"CO","2021-08-27","14:00 - 15:00","0.70","ppm"
"CO","2021-08-27","15:00 - 16:00","0.70","ppm"
"CO","2021-08-27","16:00 - 17:00","0.70","ppm"
"CO","2021-08-27","17:00 - 18:00","0.70","ppm"
"CO","2021-08-27","18:00 - 19:00","0.80","ppm"
"CO","2021-08-27","19:00 - 20:00","0.70","ppm"
"CO","2021-08-27","20:00 - 21:00","0.70","ppm"
"CO","2021-08-27","21:00 - 22:00","0.70","ppm"
"CO","2021-08-27","22:00 - 23:00","0.60","ppm"
"CO","2021-08-28","23:00 - 0:00","0.50","ppm"
"CO","2021-08-28","0:00 - 1:00","0.40","ppm"
